name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Mutare, Zimbabwe",2026-05-07T00:00:00,19,19,16.4,84.88,0,0,,0,0,15.1,1.8,24.2,1013,3.4,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T01:00:00,17.5,17.5,16,90.92,0,0,,0,0,11.5,2.9,292.6,1013,3.8,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T02:00:00,16.4,16.4,15.9,96.86,0,0,,0,0,9.7,4.3,302,1012,3.1,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T03:00:00,15.1,15.1,14.5,96.21,0,0,,0,0,11.5,5.4,303.2,1012,0.9,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T04:00:00,14.9,14.9,14.2,95.58,0,0,,0,0,12.6,5.4,288.4,1012,0.9,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T05:00:00,14.6,14.6,13.7,94.34,0,0,,0,0,14.4,6.1,273.7,1013,1.8,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T06:00:00,14.9,14.9,13.7,92.53,0,0,,0,0,16.9,6.5,267.9,1013,0.2,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T07:00:00,16.1,16.1,14,87.36,0,0,,0,0,19.4,9.4,267.2,1014,1.8,24.1,52.9,0.2,1,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T08:00:00,18.4,18.4,15.8,84.82,0,0,,0,0,21.2,8.6,255.6,1015,0,24.1,256.2,0.9,3,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T09:00:00,20.6,20.6,16.6,77.85,0,0,,0,0,24.8,9.7,246.2,1015,0.4,24.1,461,1.7,5,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T10:00:00,23,23,16.2,65.54,0,0,,0,0,25.9,8.6,240.9,1015,0,24.1,647.1,2.3,6,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T11:00:00,24.8,24.8,16.8,61.1,0,0,,0,0,25.2,7.2,240.4,1014,0,24.1,769.8,2.8,8,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T12:00:00,25.8,25.8,16.2,55.42,0,0,,0,0,23,5.8,241.7,1013,0,24.1,815.8,2.9,8,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T13:00:00,26.3,26.3,16.5,54.84,0,0,,0,0,20.5,4.3,244.5,1012,6,24.1,805.2,2.9,8,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T14:00:00,26.5,26.5,17,55.94,0,0,,0,0,18,2.5,239.3,1011,15.1,24.1,700.3,2.5,7,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T15:00:00,26.4,26.4,16.8,55.57,0,0,,0,0,15.5,2.2,153.5,1011,18.8,24.1,511.8,1.8,5,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-07T16:00:00,25.7,25.7,17.2,59.4,0,0,,0,0,14,4.7,128,1011,25.7,24.1,309.2,1.1,3,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-07T17:00:00,24.2,24.2,19,72.75,0,0,,0,0,13.3,4.7,112.8,1012,24.1,24.1,132.1,0.5,1,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-07T18:00:00,23.1,23.1,18.2,73.93,0,0,,0,0,11.9,7.6,84.4,1012,19.9,24.1,6,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T19:00:00,21.3,21.3,18.1,81.98,0,0,,0,0,13.3,6.8,78.1,1013,19.6,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T20:00:00,20.2,20.2,18.3,88.84,0,0,,0,0,14,6.8,75.7,1014,17.8,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-07T21:00:00,19.6,19.6,18.5,93.37,0,0,,0,0,15.8,6.5,78.2,1015,22.9,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-07T22:00:00,18.1,18.1,17.9,98.75,0,0,,0,0,13.3,6.1,89,1015,41.1,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-07T23:00:00,17.6,17.6,17.2,97.5,0,0,,0,0,11.9,4.7,89.3,1015,56.5,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-08T00:00:00,17.6,17.6,17,96.28,0,0,,0,0,9.7,1.8,83.3,1016,36.3,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-08T01:00:00,18,18,17.6,97.51,0,0,,0,0,8.6,1.4,268.6,1015,23.2,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-08T02:00:00,16.8,16.8,16.7,99.37,0,0,,0,0,6.8,3.2,267.9,1015,16,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T03:00:00,15.7,15.7,15.7,100,0,0,,0,0,6.1,4.7,272.7,1015,10.2,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T04:00:00,15.5,15.5,15.5,100,0,0,,0,0,8.3,5.8,273.1,1016,10.4,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T05:00:00,15.4,15.4,15.4,100,0,0,,0,0,9,5.8,274.9,1016,9,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T06:00:00,15.1,15.1,15,99.36,0,0,,0,0,9.7,5.4,276.6,1017,9,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T07:00:00,16.7,16.7,14.7,87.98,0,0,,0,0,12.6,5.4,275.9,1017,3.3,24.1,48.3,0.2,0,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-08T08:00:00,18.9,18.9,15.2,79.1,0,0,,0,0,13.3,4.3,268.9,1018,28.2,24.1,229.1,0.8,2,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-08T09:00:00,19.6,19.6,15.5,77.2,0,0,,0,0,14.8,2.5,256.4,1017,37,24.1,458.3,1.6,5,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-08T10:00:00,22.7,22.7,16.1,66.32,0,0,,0,0,14,0.7,28.5,1017,61.1,24.1,608.3,2.2,6,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-08T11:00:00,23.6,23.6,16.7,65.25,0,0,,0,0,15.8,2.2,68.6,1016,59.7,24.1,721.2,2.6,7,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-08T12:00:00,24.9,24.9,17,61.52,0,0,,0,0,18,4,83.9,1015,40.8,24.1,692.9,2.5,7,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-08T13:00:00,25.7,25.7,17.5,60.54,0,0,,0,0,19.1,4,67.1,1014,37.1,24.1,699.8,2.5,7,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-08T14:00:00,25.8,25.8,17.1,58.68,0,0,,0,0,18,5.4,89.8,1013,91.3,24.1,594.1,2.1,6,0,Overcast,cloudy,
"Mutare, Zimbabwe",2026-05-08T15:00:00,25.9,25.9,17.3,59.08,0,0,,0,0,17.6,9,99.2,1013,6.2,24.1,475.3,1.7,5,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-08T16:00:00,24.1,24.1,18.7,71.82,0,0,,0,0,19.4,9.7,89.5,1013,53,24.1,310,1.1,3,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-08T17:00:00,23,23,18.2,74.38,0,0,,0,0,20.9,8.6,88.2,1014,6.4,24.1,119.3,0.4,1,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-08T18:00:00,22.9,22.9,18.4,75.78,0,0,,0,0,20.2,8.3,81,1015,2.3,24.1,6,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T19:00:00,20.8,20.8,17.6,81.92,0,0,,0,0,20.2,8.6,77.5,1016,3.8,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T20:00:00,19.1,19.1,16.5,84.89,0,0,,0,0,19.4,7.9,75.3,1017,2.8,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T21:00:00,18.9,18.9,16.5,85.96,0,0,,0,0,18.7,6.5,74,1017,4.4,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T22:00:00,18.5,18.5,16.1,85.92,0,0,,0,0,16.9,5.4,73.8,1017,0.7,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-08T23:00:00,18,18,16,88.1,0,0,,0,0,14.8,4.3,70.2,1016,2.6,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T00:00:00,17.2,17.2,15.5,89.74,0,0,,0,0,12.6,3.2,64.5,1017,3.8,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T01:00:00,17,17,15.5,90.88,0,0,,0,0,11.2,3.6,58.4,1016,5,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T02:00:00,15.9,15.9,15.1,95,0,0,,0,0,10.4,3.6,56.7,1016,3.4,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T03:00:00,15.3,15.3,14.5,94.98,0,0,,0,0,9.7,3.2,41.2,1016,6.8,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T04:00:00,15.1,15.1,14.1,93.75,0,0,,0,0,9.4,2.9,24.2,1016,4.9,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T05:00:00,15,15,13.7,91.93,0,0,,0,0,9,2.9,18.8,1017,13.1,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T06:00:00,15.7,15.7,13.9,89.05,0,0,,0,0,9,2.9,28.5,1017,10.5,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T07:00:00,17.7,17.7,14.3,80.48,0,0,,0,0,9.4,2.2,44.2,1018,10,24.1,48.4,0.2,0,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T08:00:00,19,19,13.2,69.06,0,0,,0,0,11.5,2.5,84.4,1019,10.2,24.1,241.1,0.9,2,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T09:00:00,19.3,19.3,13.6,69.57,0,0,,0,0,16.2,5,92.2,1019,8.2,24.1,441.4,1.6,4,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T10:00:00,22.1,22.1,14.2,60.87,0,0,rain,0,0,20.5,6.5,88.2,1019,14.9,24.1,621.1,2.2,6,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T11:00:00,23.2,23.2,15.3,61.13,0,0,rain,0,0,23,7.6,81.6,1018,10.3,23.8,732.1,2.6,7,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T12:00:00,24.6,24.6,16.1,59.15,0,0,rain,0,0,25.9,9.4,76.5,1017,8.9,21.4,744.9,2.7,7,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T13:00:00,25,25,17,61.15,0,0,,0,0,27.7,9.7,75.1,1015,7.1,24.1,708.4,2.6,7,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T14:00:00,24.7,24.7,17.6,64.66,0,0,,0,0,28.1,10.4,76.5,1015,10.4,24,654.3,2.4,7,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T15:00:00,24.4,24.4,17.5,65.42,0,0,rain,0,0,28.1,10.8,78.2,1015,15.9,17.8,477.8,1.7,5,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T16:00:00,23.6,23.6,17.9,70.39,0,0,rain,0,0,27.7,11.5,79.3,1015,21,22.8,304.6,1.1,3,10,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-09T17:00:00,22.2,22.2,17.5,74.72,0,0,rain,0,0,27,9,85.8,1015,16.7,21.3,116.9,0.4,1,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-09T18:00:00,21.3,21.3,17.6,79.44,0,0,,0,0,22,9,83.7,1016,23,24.1,5.7,0,0,10,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-09T19:00:00,20.1,20.1,17.8,86.62,0,0,,0,0,20.2,7.6,79.6,1016,36,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-09T20:00:00,19,19,17.6,91.59,0,0,,0,0,19.4,6.8,80.2,1017,8.2,24.1,0,0,0,10,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T21:00:00,18.8,18.8,17.4,91.58,0,0,,0,0,17.6,6.1,80.8,1017,0.6,24.1,0,0,0,3,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T22:00:00,18.5,18.5,17.3,92.73,0,0,,0,0,17.3,5.4,77.1,1017,1.8,10.4,0,0,0,10,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-09T23:00:00,18.7,18.7,17.6,93.32,0,0,,0,0,16.2,4.7,63.5,1017,0.8,0.4,0,0,0,10,Clear,fog,
"Mutare, Zimbabwe",2026-05-10T00:00:00,17.8,17.8,17.1,95.68,0,0,,0,0,15.1,3.6,58.1,1017,1.5,0.2,0,0,0,0,Clear,fog,
"Mutare, Zimbabwe",2026-05-10T01:00:00,17.4,17.4,16.8,96.27,0,0,,0,0,14,3.2,50.6,1017,0.6,3.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-10T02:00:00,16.7,16.7,16.5,98.74,0,0,rain,0,0,13.3,3.2,43.9,1016,1,0.2,0,0,0,10,Clear,fog,
"Mutare, Zimbabwe",2026-05-10T03:00:00,15.8,15.8,15.8,100,0,0,,0,0,13,4.3,34.7,1016,1,0.2,0,0,0,10,Clear,fog,
"Mutare, Zimbabwe",2026-05-10T04:00:00,15.3,15.3,15.2,99.36,0,0,,0,0,13,5,31.1,1016,2.6,0.2,0,0,0,0,Clear,fog,
"Mutare, Zimbabwe",2026-05-10T05:00:00,14.5,14.5,14.5,100,0,0,,0,0,12.6,5,28.1,1016,10.8,2.2,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-10T06:00:00,14.6,14.6,14.6,100,0,0,,0,0,12.2,4,18.3,1017,45,8.2,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-10T07:00:00,17.3,17.3,16.8,96.88,0,0,,0,0,14.8,4.7,32,1017,86.7,8.5,47.6,0.2,0,0,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-10T08:00:00,18.5,18.5,17.5,93.9,0,0,,0,0,16.6,5,51.6,1018,13.1,24.1,225.4,0.8,2,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-10T09:00:00,19.5,19.5,17.7,89.34,0,0,,0,0,23,8.3,52.4,1017,5.5,24.1,432,1.6,4,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-10T10:00:00,23.6,23.6,17.8,69.95,0,0,,0,0,28.1,10.4,49.9,1017,3.8,24.1,633.8,2.3,6,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-10T11:00:00,24.3,24.3,17.7,66.65,0,0,,0,0,29.9,10.8,46.8,1016,5.4,24.1,743.6,2.7,7,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-10T12:00:00,26.1,26.1,17.5,59.12,0,0,,0,0,29.5,9.7,51.3,1015,7.1,24.1,792.1,2.9,8,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-10T13:00:00,26.7,26.7,17.6,57.43,0,0,,0,0,27.7,9.4,50.7,1014,30,24.1,799.4,2.9,8,10,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-10T14:00:00,27,27.8,17.9,57.5,0,0,,0,0,26.3,9.4,52.3,1014,27.5,24.1,678.6,2.4,7,10,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-10T15:00:00,26.9,27.8,18,58.2,0,0,,0,0,25.2,9.4,53.2,1013,32.2,24.1,532.1,1.9,5,10,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-10T16:00:00,26.1,26.1,18.7,63.75,0,0,,0,0,24.5,10.1,72.8,1013,35.2,24.1,326.4,1.2,3,10,Partially cloudy,partly-cloudy-day,
"Mutare, Zimbabwe",2026-05-10T17:00:00,24.4,24.4,18.6,70.1,0,0,,0,0,23.8,7.2,83.7,1014,13,24.1,120.1,0.4,1,10,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-10T18:00:00,23.1,23.1,19,77.73,0,0,,0,0,19.8,7.6,74.6,1014,3.3,24.1,6,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-10T19:00:00,21.3,21.3,17.9,80.96,0,0,,0,0,18.4,6.8,62,1015,2.2,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-10T20:00:00,20.1,20.1,17.6,85.54,0,0,,0,0,15.5,6.1,48.7,1016,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-10T21:00:00,19.8,19.8,17.4,86.05,0,0,,0,0,16.9,5.4,23.3,1016,0.7,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-10T22:00:00,18.8,18.8,17.1,89.86,0,0,,0,0,14.8,5.8,7.8,1016,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-10T23:00:00,17.6,17.6,16.5,93.27,0,0,,0,0,15.1,5.8,355.9,1016,3.3,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T00:00:00,16.7,16.7,16,95.64,0,0,,0,0,15.1,5.8,350.5,1016,2.1,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T01:00:00,16.1,16.1,15.5,96.24,0,0,,0,0,15.1,5.8,342.2,1015,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T02:00:00,15.7,15.7,14.9,94.99,0,0,,0,0,14.4,5.4,333.4,1015,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T03:00:00,14.6,14.6,14.6,100,0,0,,0,0,13,4.3,321.2,1015,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T04:00:00,14.4,14.4,14.3,99.36,0,0,,0,0,13.3,4,313.5,1015,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T05:00:00,14.7,14.7,14.3,97.45,0,0,,0,0,14.4,4.3,305.8,1015,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T06:00:00,14.1,14.1,13.6,96.81,0,0,,0,0,15.1,4.3,306,1016,0,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T07:00:00,16.9,16.9,14.8,87.44,0,0,,0,0,18.4,6.8,310.7,1016,0,24.1,50.9,0.2,1,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T08:00:00,19.9,19.9,16.9,82.85,0,0,,0,0,19.1,4.7,296.3,1017,0,24.1,251.2,0.9,3,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T09:00:00,22.8,22.8,16.6,68.05,0,0,,0,0,16.2,4.3,280,1017,0,24.1,465,1.7,5,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T10:00:00,26.4,26.4,15.9,52.47,0,0,,0,0,20.9,6.8,272.4,1017,0,24.1,642.3,2.3,6,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T11:00:00,28,28.1,15.6,46.86,0,0,,0,0,25.6,9,259.5,1017,0,24.1,763.8,2.7,8,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T12:00:00,29.1,28.6,13.9,39.4,0,0,,0,0,28.1,10.4,231.9,1016,3,24.1,818.7,2.9,8,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T13:00:00,29.5,28.7,12.9,36.07,0,0,,0,0,28.1,9.7,223.1,1015,7.4,24.1,776.5,2.8,8,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T14:00:00,29.8,29,13,35.68,0,0,,0,0,26.3,8.6,216,1014,3.9,24.1,686.4,2.5,7,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T15:00:00,29.7,28.9,12.9,35.65,0,0,,0,0,23,6.5,204.7,1014,1.6,24.1,517.2,1.9,5,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T16:00:00,29,28.9,15.4,43.65,0,0,,0,0,17.6,2.2,166.6,1014,6.7,24.1,351.1,1.3,4,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T17:00:00,27.7,27.7,14.7,45.01,0,0,,0,0,12.6,4,52.5,1014,3.3,24.1,141.3,0.5,1,0,Clear,clear-day,
"Mutare, Zimbabwe",2026-05-11T18:00:00,27,27.3,15.2,48.43,0,0,,0,0,10.4,6.1,38.4,1015,3.9,24.1,6.4,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T19:00:00,24.3,24.3,15.8,59.07,0,0,,0,0,10.1,6.5,40.1,1016,15.7,24.1,0,0,0,0,Clear,clear-night,
"Mutare, Zimbabwe",2026-05-11T20:00:00,21.9,21.9,16.1,69.63,0,0,,0,0,11.5,6.5,41.5,1016,47.9,24.1,0,0,0,3,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-11T21:00:00,21.8,21.8,16.5,71.86,0,0,,0,0,13.7,4.7,42.4,1017,69.3,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-11T22:00:00,20.8,20.8,16.8,77.88,0,0,,0,0,13,3.6,60.4,1017,77.3,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-11T23:00:00,19.8,19.8,17,83.9,0,0,,0,0,12.2,4,52.7,1017,74.1,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-12T00:00:00,18.9,18.9,17.1,89.3,0,0,,0,0,12.6,4.3,42.5,1016,73.7,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-12T01:00:00,18.4,18.4,16.7,89.83,0,0,,0,0,13.3,4.7,20.4,1016,66.2,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-12T02:00:00,17.6,17.6,15.8,89.2,0,0,,0,0,13,4.7,1.4,1016,50.9,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-12T03:00:00,16.7,16.7,15.5,92.63,0,0,,0,0,12.2,4,347.8,1016,52.4,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-12T04:00:00,16.1,16.1,15.1,93.79,0,0,,0,0,11.5,4,334.2,1016,59.8,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
"Mutare, Zimbabwe",2026-05-12T05:00:00,17.1,17.1,14.9,86.89,0,0,,0,0,10.4,4,322.7,1016,66.3,24.1,0,0,0,0,Partially cloudy,partly-cloudy-night,
